representation,classifier,dimension,parameters,raw_macro_f1,ordered_macro_f1,boundary_mae_s,best_epoch,elapsed_s
all_mean,linear,2048,10245,0.8525921125922024,0.8930405339037073,1.1083333333333334,7,0.8450883330006036
all_mean,mlp,2048,270853,0.8852995805719592,0.8989419730733008,1.05,37,1.8920846250002796
external,linear,2048,10245,0.8539777964312533,0.8824429269612535,1.185,34,0.9564026250009192
external,mlp,2048,270853,0.8546635593731018,0.8818670509054941,1.1866666666666665,24,1.3205518340000708
left_wrist,linear,2048,10245,0.8042723812092513,0.8468301505052525,1.5166666666666668,25,0.7339544580026995
left_wrist,mlp,2048,270853,0.80706268441229,0.8563425492576903,1.44,11,0.7372855419998814
right_wrist,linear,2048,10245,0.8404342172713137,0.8982457681678045,1.0333333333333332,21,0.5702495420009654
right_wrist,mlp,2048,270853,0.8607903545242765,0.9009585939433341,1.0016666666666665,16,0.8630044589990575
wrists_mean,linear,2048,10245,0.8430776501999212,0.884599607928655,1.1966666666666668,7,0.3816682500000752
wrists_mean,mlp,2048,270853,0.8818285723846641,0.9047047394086196,1.0016666666666665,19,0.9470734169990465
concat,linear,6144,30725,0.8650752680891326,0.8890670555982014,1.115,11,0.584615166997537
concat,mlp,6144,795141,0.890230090901761,0.901485963065045,1.0316666666666667,19,1.4512364580004942
