variant,raw_f1,raw_ba,ordered_f1,boundary_mae_s
all_mean_native,0.7191492365901815,0.7220420028841148,0.8741693931883102,2.733333333333334
all_mean_256,0.7103787934448034,0.7100992900595483,0.8770534117728952,2.6333333333333337
external_native,0.7744926856649986,0.7785448713365456,0.8850229645490909,2.6833333333333336
external_256,0.7540672074057838,0.7568867230420165,0.8834542924219126,2.7333333333333334
left_wrist_native,0.7299965231673318,0.7301595560931348,0.8270182787292063,3.25
left_wrist_256,0.7230021156869652,0.7236979089342711,0.8238674462644227,3.3499999999999996
right_wrist_native,0.619070058727992,0.6270589288188653,0.8347587110064707,3.0833333333333335
right_wrist_256,0.6111610878537027,0.616102046065764,0.840658275426127,2.9833333333333334
wrists_mean_native,0.7168889571611283,0.7223863659814664,0.8789291205436596,2.5833333333333335
wrists_mean_256,0.7023383189532975,0.7027036557494863,0.8802504118495609,2.5333333333333337
camera_concat_native,0.691349836708161,0.7119336681769926,0.8672376096321658,2.9833333333333334
camera_concat_256,0.699304022677157,0.7081803550817442,0.8733204398259865,2.933333333333333
