experiment,seed,ordered_macro_f1,boundary_mae_s,boundary_median_s,boundary_within_1s,episode_2_f1,parameters,decision
vision_only,17,0.908173,0.948333,0.133333,0.900,0.324075,270853,baseline
residual_fusion,17,0.904738,0.968333,0.133333,0.900,0.320050,349455,keep
vision_only,29,0.905961,0.955000,0.100000,0.900,0.320050,270853,baseline
residual_fusion,29,0.904466,0.966667,0.066667,0.875,0.320050,349455,keep
vision_only,41,0.905560,0.978333,0.133333,0.900,0.321718,270853,baseline
residual_fusion,41,0.903801,0.981667,0.133333,0.900,0.320050,349455,keep
vision_only,53,0.887583,1.153333,0.116667,0.825,0.317739,270853,baseline
residual_fusion,53,0.905152,0.993333,0.166667,0.900,0.328150,349455,keep
vision_only,67,0.886105,1.130000,0.133333,0.825,0.308225,270853,baseline
residual_fusion,67,0.904855,0.985000,0.166667,0.900,0.320050,349455,keep
vision_only_mean,5-seed,0.898676,1.033000,0.123333,0.870,0.318361,270853,baseline
residual_fusion_mean,5-seed,0.904603,0.979000,0.133333,0.895,0.321670,349455,selected
residual_ensemble,5-seed,0.906445,0.961667,0.133333,0.900,0.320050,1747275,optional
