representation,projection,seed,native_dim,probe_dim,stage_c,boundary_c,boundary_threshold,stage_macro_f1,stage_balanced_accuracy,stage_0_precision,stage_0_recall,stage_1_precision,stage_1_recall,terminal_test_samples,probe_latency_ms_per_sample,feature_hook_latency_ms_per_step,model_inference_latency_ms_per_step,peak_vram_bytes,host_rss_delta_bytes,boundary_event_f1_at_5,boundary_event_f1_at_10,boundary_median_abs_error,false_boundaries_per_episode,no_boundary_failure_fpr
R0_raw_state,native,17,8,8,100.0,0.01,0.7999999999999999,0.7981177899210685,0.7982934553131598,0.7685589519650655,0.8669950738916257,0.8411764705882353,0.7295918367346939,12,0.0002173356391321156,0.0353151189868147,207.66326614266953,6387723264,0,0.5,0.6666666666666666,6.5,1.1666666666666667,nan
R0_raw_state,native,29,8,8,0.1,0.1,0.9,0.8101720130172012,0.8245594022700051,0.9241706161137441,0.7303370786516854,0.7154150197628458,0.9187817258883249,11,0.00015909585388424884,0.033624227706486993,205.81048477800132,6387723264,0,0.43478260869565216,0.8695652173913043,6.0,1.1666666666666667,1.0
R0_raw_state,native,41,8,8,1.0,1.0,0.9,0.7998490747080196,0.8161358415595703,0.9070796460176991,0.7509157509157509,0.6964285714285714,0.8813559322033898,11,0.00016091222223070818,0.03353342980651244,205.0831428423303,6387723264,0,0.08695652173913043,0.43478260869565216,11.0,1.0,1.0
R0_raw_state,native,53,8,8,10.0,1.0,0.95,0.7753515301902398,0.7764976958525345,0.7419354838709677,0.847926267281106,0.8225806451612904,0.7050691244239631,12,0.00016136806253598296,0.03566764909143482,209.84981611801186,6387723264,0,0.43478260869565216,0.6956521739130435,6.0,1.0,nan
R0_raw_state,native,67,8,8,0.1,0.1,0.9,0.8953553152855728,0.8955778520995912,0.8851674641148325,0.893719806763285,0.9051724137931034,0.8974358974358975,12,0.00017541692436857196,0.03473031777099169,208.02734632147553,6387723264,0,0.5,0.75,5.5,1.3333333333333333,nan
R0_raw_state,common_256,17,8,256,100.0,0.01,0.7999999999999999,0.7981177899210685,0.7982934553131598,0.7685589519650655,0.8669950738916257,0.8411764705882353,0.7295918367346939,12,0.0008955765413264814,0.0353151189868147,207.66326614266953,6387723264,0,0.5,0.6666666666666666,6.5,1.1666666666666667,nan
R0_raw_state,common_256,29,8,256,0.1,0.1,0.9,0.8101720130172012,0.8245594022700051,0.9241706161137441,0.7303370786516854,0.7154150197628458,0.9187817258883249,11,0.0007416690271048867,0.033624227706486993,205.81048477800132,6387723264,0,0.43478260869565216,0.8695652173913043,6.0,1.1666666666666667,1.0
R0_raw_state,common_256,41,8,256,1.0,1.0,0.9,0.7998490747080196,0.8161358415595703,0.9070796460176991,0.7509157509157509,0.6964285714285714,0.8813559322033898,11,0.0007385027272517398,0.03353342980651244,205.0831428423303,6387723264,0,0.08695652173913043,0.43478260869565216,11.0,1.0,1.0
R0_raw_state,common_256,53,8,256,10.0,1.0,0.95,0.7753515301902398,0.7764976958525345,0.7419354838709677,0.847926267281106,0.8225806451612904,0.7050691244239631,12,0.0007206853335697904,0.03566764909143482,209.84981611801186,6387723264,0,0.43478260869565216,0.6956521739130435,6.0,1.0,nan
R0_raw_state,common_256,67,8,256,0.1,0.1,0.9,0.8953553152855728,0.8955778520995912,0.8851674641148325,0.893719806763285,0.9051724137931034,0.8974358974358975,12,0.0006225603998979609,0.03473031777099169,208.02734632147553,6387723264,0,0.5,0.75,5.5,1.3333333333333333,nan
