representation,projection,native_dim,probe_dim,parameter_count,window_size,seeds,stage_macro_f1_mean,stage_macro_f1_ci95,stage_balanced_accuracy_mean,stage_balanced_accuracy_ci95,boundary_event_f1_at_5_mean,boundary_event_f1_at_5_ci95,boundary_event_f1_at_10_mean,boundary_event_f1_at_10_ci95,boundary_median_abs_error_mean,boundary_median_abs_error_ci95,false_boundaries_per_episode_mean,false_boundaries_per_episode_ci95,predicted_boundaries_per_episode_mean,predicted_boundaries_per_episode_ci95,no_boundary_failure_fpr_mean,no_boundary_failure_fpr_ci95,streaming_probe_latency_ms_per_sample_mean,streaming_probe_latency_ms_per_sample_ci95
R4_action_encoder,common_256,1536,256,1126659,16,5,0.9202873595069668,0.061086405999363415,0.9280380113709196,0.05219698077427037,0.48712454593461463,0.18420481405112935,0.6877579704810826,0.18755978995005657,5.0,3.6140614272588114,0.4833333333333333,0.3242074096075604,0.9333333333333333,0.21545146398512433,0.5,0.9799999999999999,3.6673359199088025,0.07160638662563822
R6_vlm_dit_concat,common_256,3072,256,1126659,16,5,0.9386874535097984,0.044387450918560625,0.9452121532459579,0.03654939958389126,0.38425278425278425,0.15385281552345603,0.6272468272468272,0.0879910148161428,6.8,2.5854175678214917,0.7,0.22275696771743558,1.0999999999999999,0.18907200274557368,0.0,0.0,3.930488117701431,0.6596917148152184
R2_state_encoder,native,1536,1536,1454339,16,5,0.9286109198770791,0.053531713052042885,0.936306033103229,0.04490547397842847,0.2920080499210934,0.1390606626558229,0.5943611171437257,0.1069192981774742,8.3,1.9501753767289751,0.7,0.21668615296988608,0.9833333333333334,0.15835754200893346,0.5,0.9799999999999999,5.278503126470422,3.065205263761712
R3_vlm_hidden,native,2048,2048,1585411,16,5,0.9605206796376298,0.02755191100908311,0.9647039610312917,0.02249279617797049,0.2867193675889328,0.07626642520111458,0.4542845849802372,0.19137555677936308,11.5,3.9565793306845243,0.7166666666666666,0.06533333333333335,1.0,0.05165053511608351,0.0,0.0,5.274247691546444,2.574339783534854
R3b_vision_tokens,native,2048,2048,1585411,16,5,0.9663113552035195,0.018355922215965974,0.9691497464953864,0.015573530879974111,0.28526218708827406,0.1294040718578577,0.45295125164690386,0.23362022580900665,11.1,4.309772151750019,0.7333333333333333,0.1405046460283629,1.0166666666666666,0.06111373731730769,0.0,0.0,5.030050428380939,2.4007637860173614
R4_action_encoder,native,1536,1536,1454339,16,5,0.9145861644616788,0.06301894437181013,0.9234662520610255,0.05330235065519093,0.2815456562553337,0.07345124106293151,0.5340430107526882,0.17211096827505823,9.3,4.411088754491344,0.8666666666666668,0.2762217305797001,1.1666666666666665,0.2781466439767979,0.5,0.9799999999999999,5.7692009214201025,3.2997896311480552
R0_raw_state,common_256,8,256,1126659,16,5,0.9412302055214437,0.03545372179003546,0.9463870945638725,0.029849850719380587,0.2681818181818182,0.20791060362591376,0.47575757575757577,0.20927410507756256,10.0,3.6007499218912713,0.7,0.17591538369972712,0.9666666666666666,0.04000833246545859,0.0,0.0,3.7133420349417747,0.1085784353794648
R2_state_encoder,common_256,1536,256,1126659,16,5,0.9292136325219424,0.05205628552699889,0.9375923787195866,0.04205200788012426,0.26769294778448094,0.15718057197550514,0.6053671728728937,0.055486632726759424,7.9,2.1559999999999997,0.6,0.10834307648494304,0.85,0.0952388809491399,0.0,0.0,3.666894893080985,0.13893608622974601
R5_final_dit_hidden,native,1024,1024,1323267,16,5,0.9191253409039293,0.06174553720276489,0.9278560463041753,0.05196202465565657,0.24130434782608695,0.13614795132606128,0.39868247694334646,0.14741459509514285,11.9,4.253696745185298,0.7166666666666666,0.13269262727572068,0.95,0.04000833246545859,0.0,0.0,3.633198827085679,0.061758373209087496
R3_vlm_hidden,common_256,2048,256,1126659,16,5,0.9438911586147318,0.037092531196055954,0.9497791115555809,0.03048862932689451,0.23389610389610388,0.12193731006111425,0.4825541125541125,0.17454591371993472,9.6,3.711082860837252,0.6666666666666666,0.16333333333333333,0.8833333333333332,0.14239069882232866,0.0,0.0,3.7193696104218623,0.12845918134858625
