episode,split,boundary_1_s,boundary_2_s,boundary_3_s,boundary_4_s,duration_s
0,validation,15.8,25.633333333333333,36.1,47.833333333333336,58.0
1,validation,13.433333333333334,22.933333333333334,33.7,43.6,53.666666666666664
2,validation,19.266666666666666,28.033333333333335,39.1,50.8,52.96666666666667
3,train,11.666666666666666,19.866666666666667,29.166666666666668,36.766666666666666,44.1
4,train,10.6,19.3,27.9,35.833333333333336,42.333333333333336
5,train,11.233333333333333,19.233333333333334,30.033333333333335,39.56666666666667,47.13333333333333
6,train,9.6,17.2,24.533333333333335,33.36666666666667,41.0
7,train,11.266666666666667,18.8,27.766666666666666,35.03333333333333,43.666666666666664
8,validation,9.733333333333333,16.333333333333332,24.966666666666665,32.86666666666667,38.833333333333336
9,train,10.933333333333334,17.6,25.766666666666666,33.166666666666664,39.7
10,train,9.133333333333333,17.333333333333332,25.133333333333333,32.0,38.1
11,train,10.0,16.4,23.3,30.933333333333334,36.333333333333336
12,validation,9.266666666666667,15.4,22.2,28.7,35.3
13,validation,9.433333333333334,15.566666666666666,22.533333333333335,29.233333333333334,34.93333333333333
14,validation,8.933333333333334,15.433333333333334,22.333333333333332,29.633333333333333,34.9
15,train,9.266666666666667,15.233333333333333,21.8,32.333333333333336,38.03333333333333
16,train,7.966666666666667,14.233333333333333,21.566666666666666,30.266666666666666,36.53333333333333
17,train,8.766666666666667,15.433333333333334,22.333333333333332,28.6,34.0
18,train,9.6,16.866666666666667,24.333333333333332,32.0,37.46666666666667
19,train,8.133333333333333,14.266666666666667,20.9,28.466666666666665,33.9
20,train,8.833333333333334,15.733333333333333,23.366666666666667,30.666666666666668,36.2
21,train,8.366666666666667,14.7,22.1,30.633333333333333,36.666666666666664
22,train,10.3,16.933333333333334,24.3,33.233333333333334,39.766666666666666
23,train,8.233333333333333,14.933333333333334,22.5,30.366666666666667,42.1
24,train,8.633333333333333,15.033333333333333,22.266666666666666,28.966666666666665,34.733333333333334
25,train,8.333333333333334,13.866666666666667,20.333333333333332,27.266666666666666,36.733333333333334
26,train,9.466666666666667,15.033333333333333,22.2,30.1,35.53333333333333
27,train,8.166666666666666,13.8,21.433333333333334,27.533333333333335,33.7
28,train,8.7,15.833333333333334,24.633333333333333,32.3,38.166666666666664
29,train,9.7,16.066666666666666,23.833333333333332,31.5,37.13333333333333
30,train,8.233333333333333,14.066666666666666,20.866666666666667,29.366666666666667,34.1
31,train,8.0,14.466666666666667,21.566666666666666,28.766666666666666,34.06666666666667
32,train,7.5,13.633333333333333,20.666666666666668,27.766666666666666,32.43333333333333
33,validation,8.466666666666667,15.4,24.733333333333334,32.53333333333333,37.5
34,train,9.866666666666667,16.466666666666665,23.433333333333334,32.3,43.63333333333333
35,train,7.766666666666667,14.066666666666666,21.766666666666666,29.4,34.36666666666667
36,validation,7.666666666666667,13.966666666666667,20.733333333333334,28.0,33.2
37,train,8.366666666666667,15.233333333333333,22.933333333333334,32.13333333333333,37.266666666666666
38,train,8.833333333333334,15.833333333333334,23.266666666666666,30.433333333333334,35.9
39,train,8.433333333333334,14.3,20.933333333333334,27.533333333333335,32.53333333333333
40,train,7.066666666666666,13.166666666666666,20.366666666666667,28.4,34.3
41,train,7.633333333333334,13.466666666666667,20.666666666666668,27.566666666666666,32.53333333333333
42,train,7.366666666666666,12.666666666666666,19.533333333333335,27.1,33.266666666666666
43,train,8.2,14.066666666666666,22.133333333333333,29.366666666666667,35.03333333333333
44,train,8.766666666666667,15.266666666666667,23.866666666666667,32.86666666666667,38.06666666666667
45,train,7.866666666666666,16.266666666666666,23.233333333333334,30.033333333333335,34.96666666666667
46,train,8.733333333333333,15.2,22.7,29.6,34.166666666666664
47,train,8.3,13.066666666666666,19.533333333333335,27.033333333333335,41.36666666666667
48,validation,7.733333333333333,14.166666666666666,21.266666666666666,27.0,31.966666666666665
49,train,7.266666666666667,14.333333333333334,21.066666666666666,27.666666666666668,32.666666666666664
